millis,stamp,datetime,humidity,temp
27000000,1668984305,"2022/11/20 22:45:5",26.50,23.50
27299999,1668984605,"2022/11/20 22:50:5",26.50,23.60
27599998,1668984905,"2022/11/20 22:55:5",26.60,23.40
27899999,1668985205,"2022/11/20 23:0:5",26.70,23.40
28200000,1668985505,"2022/11/20 23:5:5",26.70,23.40
28499999,1668985804,"2022/11/20 23:10:4",26.70,23.30
28799998,1668986104,"2022/11/20 23:15:4",26.80,23.30
29100000,1668986404,"2022/11/20 23:20:4",26.60,23.40
29400000,1668986704,"2022/11/20 23:25:4",26.50,23.60
29699998,1668987004,"2022/11/20 23:30:4",26.80,23.50
29999998,1668987303,"2022/11/20 23:35:3",26.80,23.50
30299999,1668987603,"2022/11/20 23:40:3",26.70,23.40
30600000,1668987903,"2022/11/20 23:45:3",26.90,23.30
30899999,1668988203,"2022/11/20 23:50:3",27.00,23.20
31200000,1668988503,"2022/11/20 23:55:3",26.90,23.00
31499999,1668988802,"2022/11/21 0:0:2",27.10,22.90
31800000,1668989102,"2022/11/21 0:5:2",27.10,22.70
32099999,1668989402,"2022/11/21 0:10:2",27.00,22.60
32399998,1668989702,"2022/11/21 0:15:2",27.20,22.60
32700000,1668990002,"2022/11/21 0:20:2",27.20,22.60
33000000,1668990302,"2022/11/21 0:25:2",27.40,22.50
33299998,1668990601,"2022/11/21 0:30:1",27.40,22.50
33599998,1668990901,"2022/11/21 0:35:1",27.80,22.50
33899999,1668991201,"2022/11/21 0:40:1",27.80,22.40
34199999,1668991501,"2022/11/21 0:45:1",27.70,22.30
34499999,1668991801,"2022/11/21 0:50:1",27.50,22.30
34800000,1668992100,"2022/11/21 0:55:0",27.60,22.20
35100000,1668992400,"2022/11/21 1:0:0",27.50,22.20
35399999,1668992700,"2022/11/21 1:5:0",27.50,22.10
35700000,1668993000,"2022/11/21 1:10:0",27.50,22.10
36000000,1668993300,"2022/11/21 1:15:0",27.60,22.00
36299999,1668993599,"2022/11/21 1:19:59",27.40,22.00
36599999,1668993899,"2022/11/21 1:24:59",27.50,22.00
36899999,1668994199,"2022/11/21 1:29:59",27.50,21.90
37199998,1668994499,"2022/11/21 1:34:59",27.50,21.90
37499999,1668994799,"2022/11/21 1:39:59",27.50,21.80
37800000,1668995098,"2022/11/21 1:44:58",27.90,21.80
38099998,1668995398,"2022/11/21 1:49:58",28.40,21.90
38399998,1668995698,"2022/11/21 1:54:58",28.10,21.70
38700000,1668995998,"2022/11/21 1:59:58",28.10,21.70
